""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"238"	6.20739032144191e-07	0.825236651842711	0.27	0.24	0.016832580334654	"4"	"AP1S2"
"239"	4.51913692688424e-06	0.790303093761974	0.101	0.064	0.12254543604632	"4"	"DUSP6"
"240"	7.18693592680182e-06	0.837425503317083	0.126	0.088	0.194888141527085	"4"	"LY96"
"241"	1.87822921646474e-05	0.80137371850369	0.298	0.285	0.509319416628745	"4"	"RNU1-60P"
"242"	6.9477325415715e-05	0.807691167676822	0.182	0.151	1	"4"	"STXBP2"
"243"	8.68973734385674e-05	0.861051518341517	0.179	0.15	1	"4"	"FCGRT"
"244"	9.28994122699072e-05	0.853271487819677	0.221	0.199	1	"4"	"KLF6"
"245"	0.0002542070532547	0.833415386098439	0.115	0.085	1	"4"	"CLEC7A"
"246"	0.000289411213611854	0.90783257345304	0.146	0.118	1	"4"	"CTSD"
"247"	0.000584024405593547	0.840392649548377	0.191	0.169	1	"4"	"ZFP36L1"
"248"	0.000844895816245475	0.87877589883523	0.101	0.075	1	"4"	"NAMPT"
"249"	0.00107540306761359	0.969541310435356	0.112	0.087	1	"4"	"RAB31"
"250"	0.00842873201816207	0.805517215238479	0.144	0.127	1	"4"	"IQGAP1"
"251"	0	2.15968943789949	0.717	0.055	0	"5"	"RP11-290F20.3"
"252"	0	2.04869249198347	0.529	0.015	0	"5"	"FCGR3A"
"253"	0	2.04207421731685	0.992	0.282	0	"5"	"LST1"
"254"	0	1.86443945243733	0.581	0.073	0	"5"	"IFITM3"
"255"	0	1.85298434284461	0.566	0.045	0	"5"	"MS4A7"
"256"	0	1.79269574567828	0.183	0.001	0	"5"	"LYPD2"
"257"	0	1.69629693976935	0.991	0.329	0	"5"	"AIF1"
"258"	0	1.64952054229148	0.934	0.32	0	"5"	"SAT1"
"259"	0	1.63388884364751	0.969	0.286	0	"5"	"FCER1G"
"260"	0	1.43113668324205	0.269	0.009	0	"5"	"CDKN1C"
"261"	4.41137076932629e-300	1.21018693770884	0.999	0.807	1.19623141151821e-295	"5"	"FTL"
"262"	4.14730456846232e-297	1.31717761197533	0.636	0.128	1.12462457982993e-292	"5"	"SERPINA1"
"263"	6.62293880109947e-283	1.40985342334246	0.792	0.252	1.79594231469414e-278	"5"	"COTL1"
"264"	1.11044687189358e-277	1.36091527266933	0.752	0.207	3.01119878251382e-273	"5"	"IFI30"
"265"	3.74651227522864e-277	1.07199378611023	0.996	0.764	1.01594173367375e-272	"5"	"FTH1"
"266"	5.37877368082571e-276	1.23292115511323	0.813	0.238	1.45856205902951e-271	"5"	"CTSS"
"267"	1.71902958498776e-259	1.29137108777542	0.535	0.102	4.66149252561131e-255	"5"	"SPI1"
"268"	6.38656070632613e-251	1.17494975559715	0.277	0.025	1.73184366673446e-246	"5"	"LRRC25"
"269"	5.09860980541104e-250	1.22603014171262	0.817	0.278	1.38259002093331e-245	"5"	"PSAP"
"270"	7.8460527621941e-246	0.982846752472111	0.123	0.002	2.12761412752417e-241	"5"	"C1QA"
"271"	2.7261070777563e-243	1.2570607573025	0.366	0.049	7.39238456275177e-239	"5"	"HCK"
"272"	2.364186873421e-239	1.05449994420385	0.915	0.336	6.41096554465572e-235	"5"	"CST3"
"273"	2.5281648724728e-230	1.4835139421061	0.402	0.069	6.8556246846845e-226	"5"	"RHOC"
"274"	3.55653873566245e-230	0.941714368621211	0.965	0.365	9.64426608949585e-226	"5"	"TYROBP"
"275"	4.16211808407496e-223	1.00947721034937	0.113	0.002	1.12864156085861e-218	"5"	"VMO1"
"276"	8.62954609896518e-213	1.06206499201387	0.86	0.343	2.34007401565639e-208	"5"	"S100A11"
"277"	1.14381820979104e-205	1.13769636993785	0.383	0.064	3.10169183949035e-201	"5"	"CD68"
"278"	4.29701423003549e-196	1.18034755189644	0.553	0.139	1.16522134875872e-191	"5"	"CFD"
"279"	7.85294825951978e-190	1.22567498127351	0.246	0.029	2.12948397953398e-185	"5"	"TCF7L2"
"280"	1.92950244198295e-185	1.07994202687989	0.28	0.037	5.23223177192516e-181	"5"	"ABI3"
"281"	3.61180198683875e-177	0.90714584442293	0.915	0.449	9.79412344771064e-173	"5"	"NEAT1"
"282"	7.68211710311421e-170	1.09080240146635	0.313	0.051	2.08315969485148e-165	"5"	"FAM26F"
"283"	1.2750899372703e-168	1.01298954831738	0.27	0.038	3.45766138289588e-164	"5"	"PILRA"
"284"	3.89823546660809e-159	0.954267720490604	0.193	0.02	1.05708451148012e-154	"5"	"CSF1R"
"285"	2.62846095024378e-153	1.05564333036226	0.486	0.131	7.12759755877605e-149	"5"	"STXBP2"
